id_sitio,nombre,calle,num_exterior,num_interior,colonia,cp,delegacion,estado,telefono
1,,AV  JAUREZ,38,,CENTRO,52900,ATIZAPAN,,58226089Y 86287222
2,,AV. ADOLFO LOPEZ MATEOS,49,,CENTRO,52900,ATIZAPAN,,58253200
3,,AV. ADOLFO LOPEZ MATEOS Y ,49,,CENTRO,52900,ATIZAPAN,,58253200
4,,AV. ADOLFO LOPEZ MATEOS,49,,CENTRO,52900,ATIZAPAN,,58253200
5,,CONVENTO DE SANTA MONICA,120,,SANTA MONICA,54040,TLALNEPANTLA,,53989852
6,,RAMCHO ÑA HERRADURA,P,,SAN ANTONIO,54725,CUAUTITLAN IZCALLI,,58179923
7,,16 DE SEPTIEMBRE ,66,,BONFIL,52919,ATIZAPAN,,5516175396
8,,AV. JUAREZ,38,,CENTRO,52900,ATIZAPAN,,58224411
9,,CTO PLAZA ESMERALDA NO ,11,,ZONA ESMERALDA,52930,ATIZAPAN,,53082231
10,,AV JINETEZ,163,,ARBOLEDAS,52950,ATIZAPAN,,53782878
11,,AV JINETEZ,163,,ARBOLEDAS,52950,ATIZAPAN,,53782878
12,,LOPEZ MATEOS,117,,MEXICO NUEVO,52966,ATIZAPAN,,58244423
13,,LOPEZ MATEOS,117,, MEXICO NUEVO,52966,ATIZAPAN,,58244423
14,,AV. HIDALGO,41,,HIDALGO,54060,TLALNEPANTLA,,PENDIENTE
15,,LOPEZ MATEOS,117,,MEXICO NUEVO,52966,ATIZAPAN,,58244423
16,,AV JIMENEZ CANTU,S/N,,ZONA ESMERALDA,52930,ATIZAPAN,,53084147
17,,LOPEZ MATEOS,117,,MEXICO NUEVO,5966,ATIZAPAN,,58244423
18,,ADOLFO LOPEZ MATEOS Y CUAHUTEMOC 40 TLANE,49,,CENTRO,52900,ATIZAPAN,,58253200
19,,CONDOR,7,,ARBOLEDAS,54026,ATIZAPAN,,53791125
20,,AV JIENTEZ,16,,ARBOLEDAS,54026,ATIZAPAN,,5300650
21,,JIMENEZ CANTU PLAZA ESMERALDA,2 PISO,,ZONA ESMERALDA,52930,ATIZAPAN,,53082231
22,,CEDRO,22,,SAN JUAN,54800,CUAUTITLAN,,58704252
23,,ABASOLO,5,,CENTRO,54800,CUAUTITLAN,,58724307
24,,CARILLO PUERTO,208,,CUAUTITLAN,13360,CUAUTITLAN,,58704160
25,,CALZADA DE GUADALUPE,212,,CUAUTITLAN,54800,CUAUTITLAN,,58701314
26,,ZARAGOZA,201,,EL HUERTO,13360,CUAUTITLAN,,58723747
27,,CIPRES,4,,LOS MORALES,54800,CUAUTITLAN,,58701755
28,,AV FRESNOS,37,,LOS MORALES,54800,CUAUTITLAN,,26204579
29,,CEDRO,22,,SAN JUAN,54800,CUAUTITLAN,,58704252
30,,CEDRO,22,,SAN JUAN,54800,CUAUTITLAN,,58704252
31,,AV. 16 DE SEPTIEMBRE ,S/N,,BONFIL,52940,ATIZAPAN,,PENDIENTE
